kind,id,name,language_hint
channel,UCvqbFHwN-nwalWPjPUKpvTA,CNCF,en
playlist,PLj6h78yzYM2N8nw1YcqqKveySH6_0VnI0,KubeCon + CloudNativeCon Europe 2024,en
playlist,PLj6h78yzYM2Pw4mRw4S-1p_xLARMqPkA7,KubeCon + CloudNativeCon NA 2024,en
channel,UCdoadna9HFHsxXWhafhNvKw,AWS Events,en
channel,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,en
channel,UCsMica-v34Irf9KVTh6xx-g,Microsoft Developer,en
channel,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,*
channel,UCkQX1tChV7Z7l1LFF4L9j_g,InfoQ,en
channel,UCs_tLP3AiwYKwdUHpltJPuA,GOTO Conferences,en
channel,UC4YqjApdFRXszRNmuNJx9Wg,INNOQ,de
channel,UCI6QcXatdaEAaRTRjl3dc0w,Aprendemos Juntos 2030,es
channel,UC-TEg69YoizArMysKPH6_hA,Devoxx France videos,fr
channel,UC5MaEdGrolKRJXFdXgD7RAA,Josh Talks Hindi,hi
channel,UCnjKWUK2t5QJYfeqqilhJhQ,AWS Japan,ja
channel,UC6VPMUea1e-GtqhAQ2u1uPg,TEDinArabic,ar
playlist,PL2Uw4_HvXqvY2zhJ9AMUa_Z6dtMGF3gtb,PyCon US 2023,en
playlist,PLXDU_eVOJTx61IdqXh3jrvopJN8HGkS5F,Config 2023 (Figma),en
channel,UCTdw38Cw6jcm0atBPA39a0Q,NDC Conferences,en
channel,UC-oh3XiJ0M6tqYGCaWv-0Gw,PyData,en
channel,UC-gjznzViwMols6dz89qLbg,DEF CON,en
channel,UCCb9_Kn8F_Opb3UCGm-lILQ,Microsoft Research,en
channel,UCtXKDgv1AVoG88PLl8nGXmw,Google TechTalks,en
channel,UCJtkHqH4Qof97TSx7BzE5IQ,Web Summit,en
channel,UC-ET62myRxQRauf_ORE0NuA,SXSW,en